Univ applied,Course,Decesion,cgpa,Ug Univ,GRE Total,GRE Quant,Gre verbal,Toefl,Ielts,Work ep,Paper published
Arizona State University,IT,Admit,7.2/10,Nagpur University,318,163,155,101,,3M,"Yes, 1 international publication"
"University of Maryland, College Park",Systems Engineering,Admit,8.5/10,VTU,308,160,148,110,,1,None
University of Southern California,CS,Admit,9.3,NIT Raipur,315,165,150,93,,10 M,0
Stanford,CS,Admit,85%,IIT Bombay,334,170,164,117,,0Y,Yes
ASU,CS,Admit,9.3,NIT,315,165,150,93,,10 M,0
University of Bridgeport,ME,Admit,2.98/4,TU,312,163,149,88,,6M,None
Arizona State University,CS,Admit,8.76/10,R.V. College of Engineering,323,166,157,108,,1Y,Yes
UT Austin,ORIE,Admit,8.48,IIT Madras,331,170,161,118,,None,None
Texas A&M,CE,Admit,8.329,IIT Delhi,321,170,151,98,,1M,2
UT Austin,CE,Reject,8.329,IIT Delhi,321,170,151,98,,1M,2
University of North Carolina charlotte,CE,Admit,64.40%,PU,305,161,144,90,,1Y 6M,2
UNCC,Const. & Facilities Management,Admit,57%,PU,312,161,151,100,,6 M,No
"UNIVERSITY OF NORTH CAROLINA, CHARLOTTE",CIVIL,Admit,74%,"Vtu, Belgaum",310,160,150,114,,Nil,Nil
Santa Clara University,CSE,Admit,3.54/4.0,"VIT, Pune",311,157,154,97,,7M,NA
Arizona State University,EE,Admit,8.76/10,Thapar University,323,167,156,113,,2Y 5M,None
Arizona State University,EE,Admit,8.4,MU,317,160,157,107,,2 months,1 international publication
Northeastern University,Civil CEM,Admit,7.52,KIIT University,324,167,157,108,,0,0
Georgia Institute of Technology,EE,Reject,8.79/10,BMS College of Engineering,315,166,149,98,,6M,None
CMU,MIIS,Reject,9.1,SRM,315,167,148,102,,0,0
UPENN,CS,Reject,9.17,VTU,328,168,160,113,,4M,-
Georgia Tech,Building construction and facilities management,Reject,7.34,RGPV,320,161,159,113,--,10 months of internships,0
ASU,CS,Admit,9.17,VTU,328,168,160,113,,4M,-
GaTech,MSECE,Reject,8.81,VTU,317,164,153,98,,6M,1
Michigan Tech,CS,Admit,3.12,Ahmedabad University,315,170,145,108,,None,None
Georgia Tech,BCFM,Admit,9.04/10,RTMNU,321,165,156,102,,0,0
Rutgers ( New jersey state university),Civil Engineering,Admit,8.4/10,GTU,306,158,148,95,,0,0
Illinois institute of technology,CE,Reject,7.22,Anna University,304,154,150,97,,8M,1
UNC Charlotte,CM,Admit,7.22,Anna University,304,154,150,97,,8M,1
UNCC,CEM,Admit,59.50%,PU,306,160,146,92,,1 Y 6 M,Yes in IOSR journal
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ASU,CS (Big Data Systems),Admit,9.1,SRM,315,167,148,102,,3 internships,0
Arizona State University,EE,Admit,8.3,West Bengal University of Technology,328,168,160,116,,0,1
University of Texas Arlington,Civil- CM,Admit,8.18- till 6 Semester,GTU,303,158,147,88,,null,1- International Conference
ASU,CS,Admit,8.6,MSRIT,310,162,148,,,2,1
University of Texas at Dallas,CS MS,Admit,7.72,Nagpur university,316,167,149,109,,0,1
SUNY-Binghamton,IE,Admit,66%,PU,299,159,140,,7.0 (6.0:8.0:7.5:6.5),0,0
UTD,EE,Admit,8.82,AU,306,164,142,99,,3Y,0
SDSU,EE - CE,Admit,8.82,AU,306,164,142,99,,3Y,0
U Houston,EE - computer and systems,Admit,8.82,AU,306,164,142,99,,3Y,0
UMass Amherst,CE,Admit,9.38/10,MSRIT,304,156,148,96,NA,2Y,None
Neu,cs,Reject,69%,BIT,310,162,148,102,,2,0
UTD,EE,Admit,7.2/10,VJTI,321,163,158,109,,1 Y,0
Florida international university,CS,Admit,6.94,RGPV,298,150,148,91,,0,1
NEU boston,CS,Admit,8.4,MU,324,168,156,110,,0,0
UIC,CS,Admit,8.4,MU,324,168,156,110,,0,0
San Diego State Univ,EE,Admit,70%,University of Pune,301,156,145,88,,1M,0
UTD,CE,Admit,9.05,PSG Tech,318,163,155,112,,0,0
Arizona State University,EE,Admit,8.78/10,BMSCE,315,166,149,98,,6M,None
"University of Wisconsin, Madison",Biomedical Engineering,Reject,8.5/10,VTU,310,160,150,110,,2 months internship,1
University of southern california,MSCS,Admit,8.88,NIT Durgapur,323,168,155,109,,2,3
Univeristy of Central Florida,CE,Admit,7.5/10,Sharda University,310,156,154,105,,1Y 6M,None
Oklahoma State,Business Analytics,Admit,BE (Mech) 8/10 PGDM (MBA) 8.04/9,UG Anna Univ PG: Loyola Chennai,334,165,169,118,,31 Months,1 National Relevant 1 Intl not relevant
UCSD,ECE (ISRC),Reject,8.04,MNIT Jaipur,320,170,150,111,,0,4
NCSU,IE,Admit,8.55,VIT Vellore,323,166,157,111,,1Y 8M,NO
University of Minnesota,EE,Admit,7.9/10,IIT Kanpur,327,170,157,98,,1Y 6M,0
UT Austin,Computational science and Engineering,Reject,8.6,IIT Jodhpur,320,168,152,99,,3M,0
Carnegie Mellon University,CS - Robotics,Reject,3.67,GIKI (Pakistan),321,165,156,110,,2Y,1
Oklahoma State University,EE,Reject,3.03/4.00,GIK Institute of Engineering Sciences and Technology,310,158,152,110,,1Y 6M,No
TU DELFT,Aerospace,Admit,7.98/10,Thapat University,325,170,155,106,,1Y 3M,0
MTU,CS,Admit,6.67,GTU,301,155,146,89,,-,-
UIC,Mechanical engineering,Admit,7.49,Anna University,318,158,160,110,,None,0
NCSU,Mechanical,Admit,"8.36(B.E.), 8.52(Diploma)",Mumbai University,315,161,154,112,-,-,1 in TPP
ASU,CE (EE),Admit,8.82/10,Amrita Vishwa Vidyapeetham,310,162,148,115,N/A,Fresher,0
UTD,Telecom,Reject,6.47,Mu,304,159,145,91,,1m,0
University of Wisconsin-Madison,CS,Reject,70%,RGPV,304,155,149,100,,3Y,No
University of Virginia,CS,Reject,70%,RGPV,304,155,149,100,,3Y,0
"University of Ottawa, Canada",CS,Reject,70%,RGPV,304,155,149,100,,3Y,0
USC,CS,Admit,9.24/10,VTU,322,164,158,112,,6M,No
UTD,MS CS,Admit,8.5/10,MIT,311,158,153,102,,2Y,NA
ASU,ME,Admit,7.8/10,NIT,315,165,150,107,,0,0
University of Michigan Dearborn,Mechanical Engineering,Admit,78.2,Jntu Hyderabad,294,154,140,87,,5 months,2
UT Dallas,EE,Admit,56%,VTU,321,167,154,112,,2Y 2M,No
Georgia Tech,EE,Reject,86%,VTU,321,167,154,112,,2Y 2M,No
North Carolina State University,CE,Admit,64.4,PU,305,161,144,90,,1Y 7M,2
Northeastern University,CE,Admit,64.40%,PU,305,161,144,90,,1Y 7M,2
"University of Houston, Main Campus",CE,Admit,6.3/10,MU,307,163,144,94,,3M,0
NYIT-New York Institute of Technology,CS,Admit,76.4%(6th Semester),JNTUH Affiliated College,300,150,150,,7(7.5:8:6.5:6.5),0,none
Texas A&M College station,Civil,Admit,71.20%,PU,315,164,151,101,,6M,2 International papers
University of Wisconsin-Madison,CS,Reject,8.90/10.00,NIT Surat,327,170,157,101,,1Y 8M,No
Virginia Tech,Civil,Admit,71.20%,PU,315,164,151,101,,6M,2 International Papers
Arizona state university,civil engineering,Admit,7.52,kiit,324,167,157,108,,0,0
TAMU - CS,Construction engg management,Reject,57%,PU,312,161,151,100,,6+ months,No
Arizona State University,CS,Admit,9.11,RV College of Engineering,321,160,161,115,,1Y,Yes
SUNY Buffalo,CSE,Admit,7.24/10,GTU,324,170,154,110,,0,0
UMass Amherst,CS,Admit,9.3/10,NITK Surathkal,329,170,159,110,,1Y 3M,2
Northwestern University,Biotechnology,Admit,9.54/10,UDCT,320,165,155,116,-,Internship,-
MTU,EE,Admit,8.6,ICFAI,314,165,149,87,,0,0
NYU Tondon,CE,Admit,76%,IPU,319,168,151,108,,-,0
"Indiana University, Bloomington",Data science,Reject,7.24/10,GTU,324,170,154,110,,0,0
UNIVERSITY OF ARIZONA,CS,Admit,7.11,NIT R,330,170,160,112,,2Y,NO
Carnegie Mellon University,CS,Admit,8.58,NITK Surathkal,318,167,151,108,,2Y,5
Illinois institute of technology,CS,Admit,7.8,Sastra university,305,155,150,,,1 year 7 months,World applied sciences journal
Arizona State University,CS,Admit,8.26,Vishweswaraih technological university,319,162,157,105,,2Y 3M,None
UIC,IE,Admit,66%,PU,299,159,140,,7.0 (6.0:8.0:7.5:6.5),-,-
Univeristy of Connecticut,MSBAPM,Admit,8.23,IIT Bombay,327,170,157,108,,1Y,NA
Northeastern University,Biotechnology,Admit,8.6/10,Sathyabama University,303,159,144,96,,nil,1
UIC,EE,Admit,63%,MU,306,159,147,103,,1Y 7M,-
"Penn State, University Park",Industrial Engineering,Reject,66.50%,Rashtrasant Tukadoji Maharaj Nagpur University,311,166,145,98,,3 years,None
University of Waterloo,CS(MMath),Reject,76.40%,JNTUH Affiliated,300,150,150,,7(7.5:8.0:6.5:6.5),0,None
USC,EE,Reject,74%,UPTU,312,160,152,108,,1Y 6M,NA
ASU,EE,Reject,86.74%,JNTU K,320,165,155,99,,0,0
CSU FReSNO,CS,Reject,6.94,RGPV,298,150,148,91,,0,1
Bradley,CS,Admit,6.94,RGPV,298,150,148,91,,0,1
South Dakota state university,CS,Admit,6.94,RGPV,298,150,148,91,,0,1
North Carolina State University,Civil CM,Admit,71.20%,PU,315,164,151,101,,6M,2 International Papers
"University of North Carolina, Charlotte",Construction and Facilities mgmt.,Admit,71.20%,PU,315,164,151,101,,6M,2 International Papers
University of Colorado Boulder,ECE,Admit,8.4/10,Sardar Patel College of Engineering,317,160,157,106,,2 months,1 international publication
Indiana University Bloomington,Data Science,Reject,6.34,Thapar University,326,167,159,110,,18 months,None
University of Minnesota Twin Cities,EE,Admit,8.4/10,Sardar Patel College of Engineering,317,160,157,106,,2 months,1 international publication
NCSU,CIVIL,Admit,7.52,Kiit,324,167,157,108,,0,0
ASU,construction engineering,Admit,7.52,kiit,324,167,157,108,,0,0
UT Austin,CE,Reject,7.34,RGPV,320,161,159,113,,11 months (internships),0
MSU,CE,Reject,7.34,RGPV,320,161,159,113,,11 months (internships),0
UFL,CE,Admit,7.34,RGPV,320,161,159,113,,11 months (internships),0
"University of Texas, Arlington",Civil,Admit,61.54%,PU,302,159,143,94,,0,2
University of Houston- Main Campus,CE,Reject,61.54%,PU,302,159,144,94,,0,2
"Illinois Institute of Tech.,Chicago",M.Engg Structures,Admit,62%,Pu,302,159,143,94,,0,2
"Steven's Institute of Tech., NJ",M.S.- Civil,Admit,61.54%,Pu,302,159,143,94,,-,2
"Purdue , West layefette",Civil engineering - CEM,Admit,10-Aug,"CIT, Coimbatore",319,167,152,110,,1Y 6M,No
"NCSU, Releigh",Construction engineering,Admit,10-Aug,"CIT, Coimbatore",319,167,152,110,,1Y 6M,Nil
"Texas A&M University,College Station",Civil Engineering-CEM,Reject,3.63/4.0,M S Uni. of Baroda,311,158,153,102,,1Y 2M,1
North Carolina State Uni.,Civil Engineering - CE,Admit,3.63/4.0,M S Uni. of Baroda,311,158,153,102,,1Y 2M,1
TAMU,Structures Engineering,Admit,9.65,VNIT Nagpur,324,167,157,100,,9 M,Yes
Virginia Tech,CE,Admit,8.14,NIT,315,162,153,105,,0,1
Michigan state university,Construction management,Admit,65%,Nmims Mpstme,314,159,155,107,,3 months,0
Stony Brook,CS,Admit,8.6/10,WBUT,326,165,161,118,,3Y 7M,No
Wright State University,CS,Admit,3.69/4,"Pokhara University, Nepal",312,159,153,,7(7:8.5:6.5:6.5),0,None
Illinois Institute of technology Chicago,MS in CS,Admit,7.72,Nagpur university,316,167,149,109,,0,1
SUNY binghamton,BME,Admit,6.9,MU,300,154,146,83,,0,1
University of Utah,MSCS,Reject,69.17%,UPTU,321,165,156,100,,1Y,None
UT Austin,Civil-CEPM,Reject,71.20%,PU,315,164,151,101,,6M,2 International Papers
UTD,EE,Admit,8.82,Amrita Vishwa Vidyapeetham,310,162,148,115,,0,0
San Diego State University,CS,Admit,8.02/10,IIIT Bhubaneswar,307,161,145,98,,0,0
WPI,Robotics,Admit,7.2/10,VJTI,321,163,158,109,,1 Y,0
UIUC,IEERP,Reject,60%,Mumbai,318,162,156,105,,3Y,No
Rutgers University,Data science,Admit,7.24,GTU,324,170,154,110,,0,0
UC Irvine,CS,Reject,7.24,GTU,324,170,154,110,,0,0
michigan tech,ee,Admit,6.52,rtmnu,302,161,141,80,,6m,none
CSU NORTHRIDGE,CS,Reject,6.94,RGPV,298,150,148,91,,0,1
UTD,CS,Reject,70.6,RTU,314,167,147,91,,2Y 8M,Nope
University of Utah,CS,Reject,70.6,RTU,314,167,147,91,,2Y 8M,Nope
University of Texas Arlington,SE,Admit,76.40%,JNTUH Affiliated College,300,150,150,,7(7.5:8:6.5:6.5),0,None
UNC-Chapel Hill,CS,Reject,76.40%,JNTUH Affiliated College,300,150,150,,7(7.5:8:6.5:6.5),0,None
University of Michigan - Ann Arbor,CSE,Admit,7.53,BIT Mesra,328,170,158,113,N/A,9M,0
UT Dallas,CS,Reject,7.24,GTU,324,170,154,110,,0,0
Texas a&m university,EE,Admit,70%,AKTU,323,168,155,104,,Nil,1
North Carolina State University,CS,Admit,3.12/4.0,Ahmedabad University,315,170,145,108,,NA,NA
Arizona State University,Mechanical,Admit,7.3/10,MU,308,162,146,97,,None,1
"University at Buffalo, SUNY",CS,Admit,6.75/10,MU,320,166,154,105,,0,1
TAMU College Station,CS,Admit,70%,PU,322,168,154,102,,2M,None
TAMU,Cs,Admit,8.5,IIT,325,170,155,116,,3Y,No
Arizona State University,CS,Admit,8.3/10,IIT bhu,331,167,164,115,,3 Y,0
University of central florida,EE,Admit,69%,VTU,303,156,147,84,,3Y,No
SUNY Buffalo,Mechanical,Admit,8.6,GTU,305,166,139,98,,0,0
SUNY Buffalo,Mis,Admit,6.9,VIT Vellore,304,157,147,97,,7 Years,No
Arizona State University,EE,Admit,9.1/10,Vtu,304,160,144,100,,2Y,None
SUNY Buffalo,EE,Admit,9.1,VTU,304,160,144,100,,2Y,None
,,,,,,,,,,,
Arizona State University,CS,Admit,3.59/4.0,Pune University,316,168,148,105,,1Y 9M,0
Arizona State University,"Software engineering (had applied to CS, got SE)",Admit,7.24,GTU,324,170,154,110,,0,0
Michigan Technological University,CS,Admit,8.02/10,GBPUAT,312,161,151,100,,0,No
illinois inst. of tech. chicago,CS,Admit,7.74 (upto 6th sem ),charotar univ. of science and tech.,300,161,159,90,,0,0
new jersey inst. of tech.,CL,Admit,7.74,Charotar univ.,300,161,159,90,,0,0
University of California Los Angeles,CS,Admit,9.45/10,Thapar University,330,168,162,109,,4 months,2
University of California San Diego,CS,Admit,9.45/10,Thapar University,330,168,162,109,,4 months,2
University of Texas at Austin,CS,Admit,9.45/10,Thapar University,330,168,162,109,,4 months,2
University of Massachusetts Amherst,CS,Admit,9.45/10,Thapar University,330,168,162,109,,4 months,2
UIC,MS CS,Admit,70.60%,RTU,314,167,147,91,,2Y 9M,No
ASU,MCS,Admit,7.3,VJTI,313,166,147,93,,1Y8M,NA
"University of Wisconsin, Madison",Comparative Biomedical Sciences,Admit,80.61%,Delhi Technological University,319,163,156,108,,0,0
University of Southern California,Biochemistry and Molecular Medicine,Admit,80.61%,Delhi Technological University,319,163,156,108,,0,0
Northeastern University,Biotechnology,Admit,9.2/10,KU,297,157,140,,7.5(7.5:8.5:6.5:6.5),No,No
csu sacramento,cs,Reject,6.94,RGPV,298,150,148,91,,0,1
New York University,Data Science,Admit,8.1/10,IIT Roorkee,332,170,162,113,,6M,No
Kettering University,Automotive Systems,Admit,10-Jul,RGPV Bhopal,316,161,155,103,,None,None
University of Texas arlington,Mechanical,Admit,10-Jul,Rgpv bhopal,316,161,155,103,,None,None
Ohio state univ,Mechanical,Reject,10-Jul,Rgpv bhopal,316,161,155,103,,None,None
"University of Colorado, Boulder",EE(Power electronics),Admit,7.2,BIT Mesra,311,164,147,94,,0,0
"University of Maryland, College Park",ECE,Admit,75%,RTU,310,160,150,,7(7:7:7:7),0,0
University of South Florida,EE,Admit,2.77/4 (75.40%),UPES,306,160,146,89,,7M,None
Iowa State University,EE,Admit,7.6/10,NIT warangal,327,167,160,117,,11 M,0
suny buffalo,CS,Admit,7.73,Madras Institute of Technology,316,161,155,98,,6M,yes
Massachusetts Institute of Technology,NSE (Nuclear Science and Engineering),Admit,8.61/10,IIT Kharagpur,324,170,154,106,,None,None
UTD,CS,Reject,7.97,VTU,308,164,144,100,,2Y,0
NCSU,EE,Reject,7.97,VTU,308,164,144,100,,2Y,0
ASU,CE,Admit,7.97,VTU,308,164,144,100,,2Y,0
SJSU,CE,Admit,7.97,VTU,308,164,144,100,,2Y,0
UNCC,CS,Reject,7.97,VTU,308,164,144,100,,2Y,0
UTD,CS,Admit,8.3,DDU Nadiad,311,162,149,91,,0,None
George Mason,CE,Admit,7.97,VTU,308,164,144,100,,2Y,0
NYU,CS,Reject,7.97,VTU,308,164,144,100,,2Y,0
Stony Brook,CE,Admit,7.97,VTU,308,164,144,100,,2Y,0
ASU,CE,Reject,8.3,DDU nadiad,311,162,149,91,,0,0
"University of California, Irvine",EE,Admit,8.7/10,"PU, CHD",320,167,153,,8:8.5:7:6.5,Fresher,None
University of California Berkeley,Industrial Engineering,Admit,62%,MU,327,170,157,110,,0,0
Njit,Cyber security and privacy,Admit,70%,Vtu,295,150,145,,(6:7.5:6:6.5),O,O
"University of Maryland, Baltimore County",Mechanical,Admit,78,JNTU Hyderabad,294,150,144,87,,1 y,3
Arizona State University,Industrial Engineering,Admit,7.7,GGS Indraprastha University,315,163,152,1000,,2Y 8M,None
"Northeastern University, Boston",Industrial Engineering,Admit,7.7,GGS Indraprastha University,315,163,152,100,,2Y 8M,None
Purdue University,IE,Admit,9.2/10,SRM,317,162,155,106,,N/A,N/A
Worcester Polytechnic Institute,Robotics,Admit,7.18/10,"MANIT, Bhopal",321,168,153,114,,NA,0
Oregon State University,Robotics,Reject,7.18,"MANIT, Bhopal",321,168,153,114,,NA,0
Colorado School of Mines,CS,Admit,7.18,"MANIT, Bhopal",321,168,153,114,,NA,0
George mason university,CS,Admit,7.5/10,Mumbai University,308,159,149,100,,0,1
Michigan Technological University,Mechanical Engineering,Admit,56%,PU,318,164,154,110,,0,0
"University of North Carolina, Charlotte",Mechanical Engineering,Reject,56%,PU,318,164,154,110,,0,0
Yale,CS,Admit,8.9,VIT,336,170,166,117,,0Y 0M,3
Maryland College Park,CS,Admit,8.9,VIT,336,170,166,117,,0Y 0M,3
Cornell,CS,Admit,8.9,VIT,336,170,166,117,,0Y0M,3
Stanford,ICME,Reject,8.9,VIT,336,170,166,117,,0Y0M,3
CALTECH,CS,Reject,8.9,VIT,336,170,166,117,,0Y0M,3
UPenn,Bioengineering,Admit,3.6/4.0,"University of Alberta, Canada",323,161,158,118,,3Y Part Time,0
University of Southern California,Electrical ( Power Systems),Admit,8.85/10,GTU,313,167,146,109,NA,0,1
"University of Maryland, College Park",Robotics,Admit,8.85/10,GTU,313,167,146,100,NA,0,1
University of British Columbia,MASc Civil - PCM,Admit,3.93/4,IIT,314,160,154,,114,0,0
Purdue,Civil - CEM,Admit,3.93,IIT,314,160,154,114,,0,0
Suny buffalo,cs,Admit,8.33,VTU,307,161,146 awa-2.5,104,,2 y,n/A
UTD,CS,Reject,8.33,VTU,307,161,146,104,,2 y,no
Tamu,IE,Admit,8.4/10,NIT,318,168,150,110,,2Y 5M,No
Virginia Tech,Mech,Admit,8.82,Amrita University,328,168,160,113,,0,0
Texas A and M,MIS,Admit,7.4,Mumbai University,320,167,153,,,1Y 10M,1
Carnegie Mellon University,Robotics,Admit,83%,SNIST - JNTU,321,164,157,107,,0,0
TAMU,Civil-CEM,Admit,85%,IIT,314,160,154,114,,0,1
Syracuse University,CS,Admit,68.20%,Delhi Technological University,316,165,151,99,,1Y,0
San Jose State University,SE,Admit,68.20%,DTU(Formerly DCE),316,165,151,99,,1Y,NA
Colorado State University,CS,Admit,68.20%,DTU,316,165,151,99,,1Y,NA
NEU Boston,CS,Reject,68.20%,DTU,316,165,151,99,,1Y,NA
Case Western Reserve University,Engineering Management,Admit,6.4/10,BITS Pilani,330,170,160,,113(29:28:28:28),1.5 years,None
SUNY buffalo,MIS,Admit,72.77,SNIST Hyderabad,313,161,152,,8,2Y 2M,None
UTD,ITM,Admit,72.77%,SNIST Hyderabad,313,161,152,,8,2Y 2M,None
UIC,MIS,Reject,72.77,SNIST Hyderabad,313,161,152,,8,2Y 2M,Nonne
University of Michigan Ann Arbor,Manufacturing Engineering,Admit,7.97/10,Manipal Institute of Technology,321,165,156,112,,6Y,0
Southern Methodist University - Guildhall,Game Programming/Master of Interactive Technology,Admit,8.18/10,NITK Surathkal,328,167,161,116,-,1Y9M,1
Carnegie Mellon Univeristy,Entertainment Technology Center (ETC),Admit,8.18,NITK Surathkal,328,167,161,116,-,1Y9M,1
University of Utah,Entertainment Arts & Engineering (Programming Track),Admit,8.18,NITK Surathkal,328,167,161,116,-,1Y9M,1
Kettering university,Automobile engineering,Admit,7.81,SRM University,302,159,143,86,,0,0
George Mason University,CS,Admit,7.9,VIT,310,163,147,106,,2Y 2M,No
"SUNY, Stony Brook",CS,Admit,8.78/10,IIT Kharagpur,326,170,156,111,,2Y 6M,NONE
University of Florida,Aerospace,Admit,56%,Pune University,312,159,153,109,,0,3
"Texas A&M University, College Station",CE (structures),Admit,8.41,Navrachana university,307,160,147,106,,0,2
Clemson,CE,Reject,8.41,Navrachana university,307,160,147,106,,0,2
Pennsylvania state university,PSM Biotechnology,Admit,83.50%,"Sreenidhi institute of science and technology, affliated to JNTUH",316,159,157,110,,0,1
University of Florida,MS Translational Biotechnology,Reject,83.50%,"SNIST, Hyderabad affliated to JNTUH",316,159,157,110,,0,1
Case Western Reserve University,Operations Research,Admit,66%,PU,299,159,140,,7(6:8:7.5:6.5),NA,0
Suny binghamton,Ece,Admit,6.18,Mu,302,156,146,94,,0,No
Illinois Institute of Technology,MEM,Admit,8.43,IU,301,158,143,,6.5 (6.5:7.5:5.5:5.5),0M,Local - 1
UTA,MEM,Admit,8.43,Indus University,301,158,143,,6.5(6.5:7.5:5.5:5.5),0M,Local - 1
Southern Methodist,MEM,Admit,8.43,Indus University,301,158,143,,6.5(6.5:7.5:5.5:5.5),0M,Local - 1
Columbia,Applied physics,Reject,84,"Fergusson College, University of Pune",325,165,160,113,,0m,None
University of Texas at Tyler,CS,Admit,7.6,SVCE INDORE,298,153,145,89,,2Y 7M,Comparative Analysis of digital modulation techniques using AWGN channel
,,,,,,,,,,,
IIT Chicago,BME,Admit,8.5,SRM,306,156,150,108,,0,0
Rochester institute of technology,CS,Admit,65.64%,VTU,300,158,142,93,,0,1
North Carolina State University,ME,Admit,7.93/10,Mumbai University,315,163,152,103,,0,0
ASU,Se,Admit,7.29,Guru Nanak Dev University,316,164,152,102,,0,1
Northeastern University,CS,Admit,7.29,Guru Nanak Dev University,316,164,152,102,,0,1
UC Riverside,CS,Reject,7.29,Guru Nanak Dev University,316,164,152,102,,0,1
UT dallas,CS,Reject,7.29,Guru Nanak Dev University,316,164,152,100,,0,1
University of Bridgeport,CS,Admit,6.36/10,VRSEC,299,159,140,,6.5,0M,0
Rutgers university,ChemE,Admit,7.2,Nit srinagar,320,170,159,90,,0,0
University of Southern California,CS,Reject,7,IIST,315,165,150,105,,0,0
Columbia University,CE,Reject,7,IIST,315,165,150,105,,0,0
Boston University,CS,Admit,7,IIST,315,165,150,,,0,0
Newyork University,CS,Admit,7,IIST,315,165,150,105,,0,0
Texas a&m University,Aerospace,Admit,9.05/10,Indian Institute of Space Science and technology,325,170,155,111,,3Y 8M,3 (2 International 1 national)
UIC,CS,Admit,7,IIST,315,165,150,,,0,0
NEU,CS,Reject,7,IIST,315,165,150,,,0,0
CMU,MSIN,Reject,7,IIST,315,165,150,105,,0,0
Portland State University,EE,Admit,7.4/10,Shiv Nadar University,307,158,149,100,,2Y 1M,-
Iowa state university,CE,Admit,8.04/10,Anna university,305,158,147,98,,0,1
USC,CS,Admit,8.89,VIT,310,160,150,108,,0,0
University of South Florida,Business Analytics information systems,Admit,63%,MU,307,160,147,97,,3 Y 8M,None
Virginia Tech,Mech,Admit,8.6,Anna University(SVCE),306,161,145,102,,5-9months,2 international journals
Rochester Institute of Technology,CS,Admit,55.29%,Mumbai University,313,158,155,114,,4Y,0
New York University,IS,Admit,6.56/10,Thapar University,320,170,150,104,,2Y,0
Unt,Cs,Reject,74,Mvs,305,160,145,109,,2Y,0
umbc,cs,Admit,3,jntu,296,152,144,100,,3months,no
Oklahoma State University,BA,Admit,64.27%,GGSIPU,318,159,159,107,,2 Y 2M,NA
UCLA,CS,Admit,9.83,BITS,331,168,163,118,,3M,One
Northwestern University,Neurobiology,Admit,6.88/7.00 (Rank 1),"Ruia College, University of Mumbai",317,158,159,115,,Research projects,-
,,,,,,,,,,,
University of Colorado Boulder,CS,Admit,8.5,VJTI,333,170,163,110,,0,1
University of Colorado Boulder,ITP,Admit,7.1/10,NIT Bhopal,312,162,150,94,,None,None
University of Pittsburgh,Telecom,Admit,7.1/10,NIT BHOPAL,312,162,150,94,,None,None
Portland State University,Ece,Reject,7.1/10,NIT BHOPAL,312,162,150,94,,None,None
University of Massachusetts Lowell,CE,Admit,7.1/10,NIT BHOPAL,312,162,150,94,,None,None
University of Massachusetts Amherst,Ece,Reject,7.1/10,NIT BHOPAL,312,162,150,94,,None,None
University of central Florida,CE,Admit,7.1/10,NIT BHOPAL,312,162,150,94,,None,None
Northeastern University,CE,Reject,7.1/10,NIT BHOPAL,312,162,150,94,,None,None
Michigan technological University,CE,Admit,7.1/10,NIT BHOPAL,312,162,150,94,,None,None
Carnegie Mellon University,Computational Data Science,Admit,8.85,GTU,326,170,156,107,,0,0
NCSU,CS,Admit,88%,Osmania University,327,170,157,108,,0,0
Northwestern University,MS Journalism,Admit,5.17/10,LNMIIT,318,163,155,108,,1Y,Nope
Gauri,CS,Admit,66%,Pune University,306,163,143,90,,2.5Y,No
University of Rochester,Business Analytics,Admit,6.35/10,"YCCE, affiliated to Nagpur University",316,158,158,,7.5(8.5:7.5:8.0:6.5),2Y 2M,None
University of Toronto,CS,Admit,6.2/10,BITS edu campus,302,160,142,87,,0,0
Texas A&M University,Aerospace Engg,Admit,9.05/10,IIST,325,170,155,,,3Y,Yes 3
Purdue University,Aero,Admit,9.05/10,IIST,325,170,155,,,3Y,3
UCLA,CE,Admit,9.49/10,NIT-SURAT,318,169,149,104,,0,1
-,-,-,-,-,-,,,,,,
